Term,Year,Code,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient
SP,23,0,1,32,24,30,24,24,32,22,24,25
SP,23,0,1,25,20,23,22,22,24,14,20,20
SP,23,21,1,25,13,20,24,20,24,14,19,18
SP,23,21,1,26,19,24,17,20,17,10,20,16
SP,23,21,1,11,8,7,11,10,11,7,11,10
SP,23,21,1,15,9,12,7,11,14,5,9,6
SP,23,21,1,14,7,11,11,13,13,6,11,11
SP,23,21,1,13,7,11,6,11,13,3,8,7
SP,23,21,1,8,5,7,8,4,7,2,5,5
SP,23,22,1,29,25,28,21,24,28,10,23,22
SP,23,22,1,24,20,24,15,20,23,9,17,19
SP,23,22,1,27,23,26,23,25,26,9,24,24
SP,23,22,1,23,14,22,16,16,21,7,15,16
SP,23,22,1,27,22,25,21,20,22,13,21,19
SP,23,48,1,13,11,13,10,13,13,8,12,13
SP,23,48,1,13,12,12,13,13,13,12,13,13
SP,23,0,2,32,29,24,29,30,15,21,29,23
SP,23,0,2,25,24,19,22,19,14,15,16,16
SP,23,21,2,25,18,17,23,22,17,16,25,20
SP,23,21,2,26,21,11,22,17,14,8,17,15
SP,23,21,2,11,9,7,11,7,3,7,10,7
SP,23,21,2,15,11,10,13,13,5,7,11,6
SP,23,21,2,14,13,11,12,8,8,8,9,10
SP,23,21,2,13,13,9,9,8,4,8,6,7
SP,23,21,2,8,8,5,6,6,4,3,4,5
SP,23,22,2,29,27,22,27,23,17,15,19,18
SP,23,22,2,24,21,18,20,20,8,5,14,10
SP,23,22,2,27,26,17,21,20,20,11,21,17
SP,23,22,2,23,21,14,20,14,7,7,10,9
SP,23,22,2,27,27,19,24,22,16,12,15,16
SP,23,48,2,13,12,10,12,11,7,11,13,11
SP,23,48,2,13,12,12,11,13,8,11,12,12
SP,23,0,3,32,21,29,22,21,22,21,28,22
SP,23,0,3,25,11,21,10,17,12,16,12,12
SP,23,21,3,25,13,24,15,19,13,9,19,11
