,Year,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient,Campus,KB,CT,QL,SL,PS,Date Taken
0,23,1,32.0,24.0,30.0,24.0,24.0,32.0,22.0,24.0,25.0,0.0,26.0,26.0,25.2,24.0,26.0,2023.0
1,23,1,25.0,20.0,23.0,22.0,22.0,24.0,14.0,20.0,20.0,0.0,21.666666666666668,20.0,20.4,20.0,20.0,2023.0
2,23,1,25.0,13.0,20.0,24.0,20.0,24.0,14.0,19.0,18.0,1.0,19.0,19.333333333333332,20.2,19.0,19.333333333333332,2023.0
3,23,1,26.0,19.0,24.0,17.0,20.0,17.0,10.0,20.0,16.0,1.0,20.0,15.666666666666666,16.8,20.0,15.666666666666666,2023.0
4,23,1,11.0,8.0,7.0,11.0,10.0,11.0,7.0,11.0,10.0,1.0,8.666666666666666,9.333333333333334,10.0,11.0,9.333333333333334,2023.0
5,23,1,15.0,9.0,12.0,7.0,11.0,14.0,5.0,9.0,6.0,1.0,9.333333333333334,10.0,9.2,9.0,10.0,2023.0
6,23,1,14.0,7.0,11.0,11.0,13.0,13.0,6.0,11.0,11.0,1.0,9.666666666666666,10.666666666666666,10.8,11.0,10.666666666666666,2023.0
7,23,1,13.0,7.0,11.0,6.0,11.0,13.0,3.0,8.0,7.0,1.0,8.0,9.0,8.2,8.0,9.0,2023.0
8,23,1,8.0,5.0,7.0,8.0,4.0,7.0,2.0,5.0,5.0,1.0,6.666666666666667,4.333333333333333,5.2,5.0,4.333333333333333,2023.0
9,23,1,29.0,25.0,28.0,21.0,24.0,28.0,10.0,23.0,22.0,2.0,24.666666666666668,20.666666666666668,21.2,23.0,20.666666666666668,2023.0
10,23,1,24.0,20.0,24.0,15.0,20.0,23.0,9.0,17.0,19.0,2.0,19.666666666666668,17.333333333333332,16.8,17.0,17.333333333333332,2023.0
11,23,1,27.0,23.0,26.0,23.0,25.0,26.0,9.0,24.0,24.0,2.0,24.0,20.0,21.4,24.0,20.0,2023.0
12,23,1,23.0,14.0,22.0,16.0,16.0,21.0,7.0,15.0,16.0,2.0,17.333333333333332,14.666666666666666,15.0,15.0,14.666666666666666,2023.0
13,23,1,27.0,22.0,25.0,21.0,20.0,22.0,13.0,21.0,19.0,2.0,22.666666666666668,18.333333333333332,19.4,21.0,18.333333333333332,2023.0
14,23,1,13.0,11.0,13.0,10.0,13.0,13.0,8.0,12.0,13.0,3.0,11.333333333333334,11.333333333333334,11.2,12.0,11.333333333333334,2023.0
15,23,1,13.0,12.0,12.0,13.0,13.0,13.0,12.0,13.0,13.0,3.0,12.333333333333334,12.666666666666666,12.8,13.0,12.666666666666666,2023.0
80,22,1,32.0,25.0,31.0,23.0,26.0,29.0,15.0,24.0,31.0,0.0,26.333333333333332,23.333333333333332,23.4,24.0,23.333333333333332,2022.5
81,22,1,21.0,15.0,17.0,16.0,20.0,21.0,13.0,18.0,16.0,0.0,16.0,18.0,17.6,18.0,18.0,2022.5
82,22,1,21.0,15.0,17.0,8.0,18.0,18.0,5.0,11.0,10.0,0.0,13.333333333333334,13.666666666666666,12.0,11.0,13.666666666666666,2022.5
83,22,1,27.0,23.0,25.0,22.0,22.0,25.0,13.0,22.0,20.0,0.0,23.333333333333332,20.0,20.8,22.0,20.0,2022.5
84,22,1,27.0,21.0,24.0,17.0,19.0,22.0,12.0,20.0,17.0,0.0,20.666666666666668,17.666666666666668,18.0,20.0,17.666666666666668,2022.5
85,22,1,11.0,6.0,7.0,9.0,7.0,6.0,4.0,10.0,7.0,0.0,7.333333333333333,5.666666666666667,7.2,10.0,5.666666666666667,2022.5
86,22,1,22.0,10.0,18.0,22.0,21.0,22.0,13.0,20.0,19.0,1.0,16.666666666666668,18.666666666666668,19.6,20.0,18.666666666666668,2022.5
87,22,1,11.0,8.0,11.0,11.0,11.0,10.0,5.0,8.0,9.0,1.0,10.0,8.666666666666666,9.0,8.0,8.666666666666666,2022.5
88,22,1,23.0,17.0,23.0,19.0,23.0,21.0,9.0,20.0,19.0,2.0,19.666666666666668,17.666666666666668,18.4,20.0,17.666666666666668,2022.5
89,22,1,22.0,17.0,22.0,20.0,18.0,21.0,10.0,17.0,19.0,2.0,19.666666666666668,16.333333333333332,17.2,17.0,16.333333333333332,2022.5
90,22,1,35.0,31.0,31.0,28.0,28.0,32.0,17.0,33.0,30.0,1.0,30.0,25.666666666666668,27.6,33.0,25.666666666666668,2022.5
